idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1276F,-6.256944,2026-04-10T00:00:00+0000,0.0,670.0,1.4,0.7,205.0,43.1,185.0,POLA DE SOMIEDO-DEPURADORA,98.0,9.0,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1279X,-6.230729,2026-04-10T00:00:00+0000,0.0,240.0,3.4,1.8,36.0,43.424999,77.0,CAMUÑO,96.0,12.2,12.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,
1283U,-6.469998,2026-04-10T00:00:00+0000,0.0,60.0,8.3,4.0,90.0,43.569166,166.0,CABO BUSTO,94.0,12.9,13.1,13.3,1015.9,0.9,14.6,1023.1,12.1,13.4,18.0,0.0,15.8,,,,,,,,,,,,,,,
1297E,-7.017618,2026-04-10T00:00:00+0000,0.0,1020.0,1.4,0.0,332.0,42.768579,145.0,CERVANTES-BAZAL,92.0,9.1,9.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1302F,-6.472407,2026-04-10T00:00:00+0000,0.0,1310.0,7.2,2.1,60.0,42.955269,50.0,DEGAÑA  COTO CORTÉS,64.0,12.1,12.1,12.9,,,,,,,,,,,,,,,,,,,,,,,,
1309C,-6.884876,2026-04-10T00:00:00+0000,0.0,780.0,2.2,1.7,61.0,43.027413,55.0,SAN ANTOLIN DE IBIAS-LINARES,97.0,7.9,7.9,8.3,,,,,,,,,,,,,,,,,,,,,,,,
1327A,-6.673332,2026-04-10T00:00:00+0000,0.0,410.0,5.5,3.1,68.0,43.465552,60.0,ONETA,98.0,11.0,11.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,
1331A,-7.031388,2026-04-10T00:00:00+0000,0.0,40.0,6.2,1.9,66.0,43.524722,61.0,CASTROPOL,92.0,13.0,13.1,13.3,,,,,11.8,,,,,,,95.0,,,,,,,,,,,,
1341B,-7.06098,2026-04-10T00:00:00+0000,0.0,340.0,7.8,4.4,352.0,43.415546,350.0,OURIA DE TARAMUNDI,100.0,10.9,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
1342X,-7.082971,2026-04-10T00:00:00+0000,0.0,43.0,5.6,2.9,60.0,43.540652,82.0,RIBADEO  VILAFRAMIL,95.0,13.1,13.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,
1344X,-7.361736,2026-04-10T00:00:00+0000,0.0,125.0,,,,43.431333,,MONDOÑEDO,94.0,12.7,12.7,12.7,,,,,,,,,,,,,,,,,,,,,,,,
